Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Bahrain,2023,VER,Red Bull Racing,34.0,97.839,31.129,42.615,24.095,SOFT,20.0,2.0,,,1.0,1,True,False,55.6,1.668,232.0,248.0,283.0,299.0
Bahrain,2023,VER,Red Bull Racing,35.0,97.85,31.211,42.5,24.139,SOFT,21.0,2.0,,,1.0,1,True,False,54.0,1.62,232.0,255.0,282.0,303.0
Bahrain,2023,VER,Red Bull Racing,36.0,100.964,31.35,42.582,27.032,SOFT,22.0,2.0,7305.619,,1.0,1,False,False,52.4,1.572,233.0,251.0,,299.0
Bahrain,2023,VER,Red Bull Racing,37.0,118.49,52.755,42.071,23.664,HARD,1.0,3.0,,7330.556,1.0,1,False,True,50.8,1.524,232.0,244.0,281.0,215.0
Bahrain,2023,VER,Red Bull Racing,38.0,96.297,31.034,41.772,23.491,HARD,2.0,3.0,,,1.0,1,True,True,49.2,1.476,235.0,246.0,281.0,288.0
Bahrain,2023,VER,Red Bull Racing,39.0,96.446,30.818,42.125,23.503,HARD,3.0,3.0,,,1.0,1,True,True,47.6,1.428,233.0,244.0,282.0,288.0
Bahrain,2023,VER,Red Bull Racing,40.0,96.942,31.175,42.247,23.52,HARD,4.0,3.0,,,1.0,1,True,True,46.0,1.38,231.0,240.0,282.0,286.0
Bahrain,2023,VER,Red Bull Racing,41.0,120.495,31.381,55.533,33.581,HARD,5.0,3.0,,,1.0,126,False,True,44.4,1.332,233.0,214.0,225.0,286.0
Bahrain,2023,VER,Red Bull Racing,42.0,104.824,38.946,42.174,23.704,HARD,6.0,3.0,,,1.0,671,False,True,42.8,1.284,230.0,246.0,282.0,236.0
Bahrain,2023,VER,Red Bull Racing,43.0,96.89,31.13,42.295,23.465,HARD,7.0,3.0,,,1.0,1,True,True,41.2,1.236,236.0,247.0,282.0,290.0
Bahrain,2023,VER,Red Bull Racing,44.0,96.236,30.783,42.005,23.448,HARD,8.0,3.0,,,1.0,1,True,True,39.6,1.188,237.0,245.0,283.0,296.0
Bahrain,2023,VER,Red Bull Racing,45.0,97.015,31.079,42.221,23.715,HARD,9.0,3.0,,,1.0,1,True,True,38.0,1.14,235.0,245.0,281.0,294.0
Bahrain,2023,VER,Red Bull Racing,46.0,96.701,31.03,42.003,23.668,HARD,10.0,3.0,,,1.0,1,True,True,36.4,1.092,236.0,245.0,282.0,290.0
Bahrain,2023,VER,Red Bull Racing,47.0,97.009,31.094,42.205,23.71,HARD,11.0,3.0,,,1.0,1,True,True,34.8,1.044,236.0,243.0,282.0,293.0
