Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
Bahrain,2023,ALB,Williams,51.0,97.727,31.157,42.662,23.908,SOFT,11.0,235.0,248.0,287.0,312.0,42.809,0.0738
Bahrain,2023,ALB,Williams,52.0,97.861,31.11,42.907,23.844,SOFT,12.0,236.0,249.0,287.0,312.0,42.651,0.0923
Bahrain,2023,ALB,Williams,53.0,97.778,31.109,42.799,23.87,SOFT,13.0,237.0,255.0,287.0,311.0,43.323,0.0939
Bahrain,2023,ALB,Williams,54.0,97.78,31.074,42.796,23.91,SOFT,14.0,236.0,256.0,286.0,312.0,42.777,0.0631
Bahrain,2023,ALB,Williams,55.0,97.803,31.113,42.777,23.913,SOFT,15.0,237.0,256.0,286.0,312.0,42.771,0.0485
Bahrain,2023,ALB,Williams,56.0,98.159,31.157,42.905,24.097,SOFT,16.0,238.0,252.0,288.0,312.0,42.919,0.1616
Bahrain,2023,ALB,Williams,57.0,98.137,31.128,42.928,24.081,SOFT,17.0,237.0,261.0,288.0,312.0,43.017,0.1981
Bahrain,2023,ALO,Aston Martin,2.0,99.792,31.743,43.626,24.423,SOFT,5.0,231.0,228.0,279.0,300.0,41.342,
Bahrain,2023,ALO,Aston Martin,3.0,99.1,31.541,43.276,24.283,SOFT,6.0,231.0,247.0,279.0,293.0,41.727,
Bahrain,2023,ALO,Aston Martin,4.0,99.548,31.723,43.457,24.368,SOFT,7.0,223.0,242.0,279.0,300.0,41.841,0.351
Bahrain,2023,ALO,Aston Martin,5.0,99.662,31.705,43.553,24.404,SOFT,8.0,225.0,235.0,279.0,301.0,41.848,0.3007
Bahrain,2023,ALO,Aston Martin,6.0,99.674,31.695,43.482,24.497,SOFT,9.0,224.0,240.0,280.0,306.0,41.443,0.2687
Bahrain,2023,ALO,Aston Martin,7.0,99.729,31.675,43.494,24.56,SOFT,10.0,227.0,233.0,280.0,305.0,41.702,0.256
Bahrain,2023,ALO,Aston Martin,8.0,99.959,31.674,43.675,24.61,SOFT,11.0,227.0,238.0,280.0,305.0,41.004,0.1517
Bahrain,2023,ALO,Aston Martin,9.0,100.275,31.774,43.819,24.682,SOFT,12.0,226.0,245.0,284.0,307.0,40.903,0.2612
Bahrain,2023,ALO,Aston Martin,10.0,100.203,31.505,43.905,24.793,SOFT,13.0,225.0,243.0,286.0,321.0,41.627,0.2707
Bahrain,2023,ALO,Aston Martin,11.0,101.147,31.657,44.321,25.169,SOFT,14.0,225.0,242.0,285.0,325.0,40.87,0.5392
Bahrain,2023,ALO,Aston Martin,12.0,100.934,31.789,44.062,25.083,SOFT,15.0,227.0,245.0,286.0,324.0,41.751,0.5095
Bahrain,2023,ALO,Aston Martin,13.0,100.341,31.823,43.946,24.572,SOFT,16.0,226.0,246.0,277.0,325.0,41.253,0.4298
Bahrain,2023,ALO,Aston Martin,16.0,97.542,31.154,42.459,23.929,HARD,2.0,229.0,252.0,287.0,305.0,41.304,1.4476
Bahrain,2023,ALO,Aston Martin,17.0,98.139,30.946,43.197,23.996,HARD,3.0,229.0,249.0,279.0,326.0,41.412,1.6651
Bahrain,2023,ALO,Aston Martin,18.0,98.124,31.3,42.737,24.087,HARD,4.0,229.0,237.0,279.0,300.0,41.955,1.5143
Bahrain,2023,ALO,Aston Martin,19.0,98.361,31.313,42.965,24.083,HARD,5.0,228.0,245.0,280.0,304.0,41.787,1.0722
Bahrain,2023,ALO,Aston Martin,20.0,98.318,31.337,42.915,24.066,HARD,6.0,227.0,240.0,279.0,304.0,41.491,0.3275
Bahrain,2023,ALO,Aston Martin,21.0,98.407,31.383,42.994,24.03,HARD,7.0,228.0,236.0,280.0,303.0,41.669,0.1302
Bahrain,2023,ALO,Aston Martin,22.0,98.2,31.364,42.853,23.983,HARD,8.0,228.0,235.0,281.0,304.0,41.361,0.1171
Bahrain,2023,ALO,Aston Martin,23.0,97.853,31.14,42.63,24.083,HARD,9.0,227.0,243.0,280.0,305.0,41.614,0.2232
Bahrain,2023,ALO,Aston Martin,24.0,97.878,31.237,42.611,24.03,HARD,10.0,229.0,241.0,281.0,305.0,41.506,0.2536
Bahrain,2023,ALO,Aston Martin,25.0,98.139,31.315,42.669,24.155,HARD,11.0,228.0,250.0,282.0,304.0,41.197,0.2324
Bahrain,2023,ALO,Aston Martin,26.0,98.127,31.267,42.694,24.166,HARD,12.0,228.0,251.0,281.0,306.0,41.745,0.1614
Bahrain,2023,ALO,Aston Martin,27.0,98.612,31.395,43.114,24.103,HARD,13.0,230.0,240.0,281.0,306.0,41.786,0.3051
Bahrain,2023,ALO,Aston Martin,28.0,98.199,31.345,42.758,24.096,HARD,14.0,230.0,247.0,281.0,302.0,42.159,0.2656
Bahrain,2023,ALO,Aston Martin,29.0,98.585,31.49,42.916,24.179,HARD,15.0,228.0,245.0,281.0,307.0,41.207,0.2446
Bahrain,2023,ALO,Aston Martin,30.0,98.282,31.37,42.711,24.201,HARD,16.0,228.0,250.0,280.0,306.0,41.429,0.2238
Bahrain,2023,ALO,Aston Martin,31.0,98.009,31.257,42.663,24.089,HARD,17.0,228.0,252.0,280.0,304.0,41.538,0.2583
Bahrain,2023,ALO,Aston Martin,32.0,97.871,31.335,42.558,23.978,HARD,18.0,231.0,251.0,280.0,303.0,41.172,0.2734
Bahrain,2023,ALO,Aston Martin,33.0,97.769,31.266,42.549,23.954,HARD,19.0,231.0,252.0,280.0,303.0,41.039,0.3311
Bahrain,2023,ALO,Aston Martin,36.0,96.156,30.895,41.462,23.799,HARD,2.0,233.0,255.0,290.0,296.0,41.356,0.8393
Bahrain,2023,ALO,Aston Martin,37.0,97.431,31.186,42.184,24.061,HARD,3.0,225.0,255.0,290.0,328.0,41.176,0.7527
Bahrain,2023,ALO,Aston Martin,38.0,97.002,30.763,42.308,23.931,HARD,4.0,231.0,250.0,280.0,328.0,40.992,0.6975
Bahrain,2023,ALO,Aston Martin,39.0,97.243,31.244,42.303,23.696,HARD,5.0,230.0,255.0,281.0,304.0,41.253,0.6075
Bahrain,2023,ALO,Aston Martin,40.0,97.208,31.221,42.306,23.681,HARD,6.0,230.0,250.0,281.0,304.0,41.298,0.5
Bahrain,2023,ALO,Aston Martin,42.0,96.334,30.908,41.746,23.68,HARD,8.0,236.0,255.0,282.0,304.0,40.807,0.4249
Bahrain,2023,ALO,Aston Martin,43.0,96.911,30.956,42.096,23.859,HARD,9.0,232.0,253.0,287.0,305.0,41.54,0.3659
Bahrain,2023,ALO,Aston Martin,44.0,97.022,30.817,42.208,23.997,HARD,10.0,238.0,257.0,288.0,312.0,41.286,0.3669
Bahrain,2023,ALO,Aston Martin,45.0,97.931,31.048,43.229,23.654,HARD,11.0,228.0,253.0,280.0,324.0,41.294,0.5764
Bahrain,2023,ALO,Aston Martin,46.0,97.087,31.144,42.162,23.781,HARD,12.0,230.0,253.0,280.0,302.0,40.682,0.5723
Bahrain,2023,ALO,Aston Martin,47.0,97.326,31.293,42.342,23.691,HARD,13.0,233.0,247.0,280.0,302.0,41.469,0.4071
Bahrain,2023,ALO,Aston Martin,48.0,96.783,31.076,41.97,23.737,HARD,14.0,233.0,259.0,280.0,292.0,41.203,0.4371
Bahrain,2023,ALO,Aston Martin,49.0,96.726,31.058,41.981,23.687,HARD,15.0,234.0,255.0,281.0,302.0,41.289,0.4892
Bahrain,2023,ALO,Aston Martin,50.0,96.331,30.933,41.764,23.634,HARD,16.0,234.0,255.0,280.0,303.0,41.546,0.3781
Bahrain,2023,ALO,Aston Martin,51.0,96.96,31.158,42.005,23.797,HARD,17.0,234.0,255.0,280.0,303.0,41.585,0.3622
Bahrain,2023,ALO,Aston Martin,52.0,97.01,31.043,42.243,23.724,HARD,18.0,236.0,241.0,281.0,302.0,41.805,0.2684
Bahrain,2023,ALO,Aston Martin,53.0,97.01,31.159,42.135,23.716,HARD,19.0,234.0,246.0,281.0,303.0,41.469,0.2911
Bahrain,2023,ALO,Aston Martin,54.0,97.599,31.305,42.469,23.825,HARD,20.0,234.0,251.0,281.0,303.0,41.538,0.449
Bahrain,2023,ALO,Aston Martin,55.0,97.662,31.237,42.575,23.85,HARD,21.0,232.0,247.0,281.0,296.0,41.753,0.3503
Bahrain,2023,ALO,Aston Martin,56.0,97.473,31.425,42.157,23.891,HARD,22.0,231.0,255.0,281.0,303.0,41.237,0.3185
Bahrain,2023,ALO,Aston Martin,57.0,97.422,31.421,42.088,23.913,HARD,23.0,233.0,257.0,277.0,299.0,41.882,0.2553
Bahrain,2023,BOT,Alfa Romeo,2.0,99.956,31.722,43.495,24.739,SOFT,2.0,228.0,247.0,277.0,290.0,42.154,
Bahrain,2023,BOT,Alfa Romeo,3.0,99.397,31.428,43.378,24.591,SOFT,3.0,227.0,246.0,282.0,302.0,42.42,
Bahrain,2023,BOT,Alfa Romeo,4.0,99.823,31.568,43.543,24.712,SOFT,4.0,226.0,244.0,277.0,307.0,42.715,0.292
Bahrain,2023,BOT,Alfa Romeo,5.0,101.033,32.204,44.132,24.697,SOFT,5.0,226.0,239.0,276.0,297.0,42.335,0.696
Bahrain,2023,BOT,Alfa Romeo,6.0,100.265,31.687,43.789,24.789,SOFT,6.0,229.0,239.0,276.0,292.0,42.792,0.6102
Bahrain,2023,BOT,Alfa Romeo,7.0,100.564,31.983,43.92,24.661,SOFT,7.0,226.0,238.0,276.0,293.0,42.047,0.6356
