Race,Season,Driver,Team,LapNumber,LapTime_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,FuelLoad_kg,FuelCorrection_s,IsAccurate,DegRate_s_lap,TotalLaps,LapsRemaining,SafetyCar,RedFlag,IsPitLap
Singapore,2023,VER,Red Bull Racing,40.0,108.808,HARD,40.0,1.0,7941.491,,6.0,1,46.0,1.38,False,0.0936,62.0,22.0,0,0,1
Singapore,2023,VER,Red Bull Racing,41.0,119.248,MEDIUM,1.0,2.0,,7971.162,15.0,1,44.4,1.332,False,-0.1362,62.0,21.0,0,0,0
Singapore,2023,VER,Red Bull Racing,42.0,97.713,MEDIUM,2.0,2.0,,,15.0,1,42.8,1.284,True,-0.1362,62.0,20.0,0,0,0
Singapore,2023,VER,Red Bull Racing,43.0,116.357,MEDIUM,3.0,2.0,,,13.0,126,41.2,1.236,False,-0.1362,62.0,19.0,0,0,0
Singapore,2023,VER,Red Bull Racing,44.0,137.522,MEDIUM,4.0,2.0,,,12.0,6,39.6,1.188,False,-0.1362,62.0,18.0,1,0,0
Singapore,2023,VER,Red Bull Racing,45.0,104.939,MEDIUM,5.0,2.0,,,11.0,671,38.0,1.14,False,-0.1362,62.0,17.0,0,0,0
Singapore,2023,VER,Red Bull Racing,46.0,97.57,MEDIUM,6.0,2.0,,,11.0,1,36.4,1.092,True,-0.1362,62.0,16.0,0,0,0
Singapore,2023,VER,Red Bull Racing,47.0,98.09,MEDIUM,7.0,2.0,,,10.0,12,34.8,1.044,True,-0.1362,62.0,15.0,0,0,0
Singapore,2023,VER,Red Bull Racing,48.0,98.333,MEDIUM,8.0,2.0,,,9.0,1,33.2,0.996,True,-0.1362,62.0,14.0,0,0,0
Singapore,2023,VER,Red Bull Racing,49.0,97.085,MEDIUM,9.0,2.0,,,9.0,1,31.6,0.948,True,-0.1362,62.0,13.0,0,0,0
Singapore,2023,VER,Red Bull Racing,50.0,99.006,MEDIUM,10.0,2.0,,,8.0,1,30.0,0.9,True,-0.1362,62.0,12.0,0,0,0
Singapore,2023,VER,Red Bull Racing,51.0,97.144,MEDIUM,11.0,2.0,,,8.0,1,28.4,0.852,True,-0.1362,62.0,11.0,0,0,0
Singapore,2023,VER,Red Bull Racing,52.0,96.835,MEDIUM,12.0,2.0,,,8.0,1,26.8,0.804,True,-0.1362,62.0,10.0,0,0,0
Singapore,2023,VER,Red Bull Racing,53.0,97.132,MEDIUM,13.0,2.0,,,8.0,12,25.2,0.756,True,-0.1362,62.0,9.0,0,0,0
Singapore,2023,VER,Red Bull Racing,54.0,98.196,MEDIUM,14.0,2.0,,,7.0,1,23.6,0.708,True,-0.1362,62.0,8.0,0,0,0
Singapore,2023,VER,Red Bull Racing,55.0,96.899,MEDIUM,15.0,2.0,,,7.0,1,22.0,0.66,True,-0.1362,62.0,7.0,0,0,0
Singapore,2023,VER,Red Bull Racing,56.0,97.519,MEDIUM,16.0,2.0,,,7.0,1,20.4,0.612,True,-0.1362,62.0,6.0,0,0,0
Singapore,2023,VER,Red Bull Racing,57.0,99.299,MEDIUM,17.0,2.0,,,6.0,1,18.8,0.564,True,-0.1362,62.0,5.0,0,0,0
Singapore,2023,VER,Red Bull Racing,58.0,96.912,MEDIUM,18.0,2.0,,,6.0,12,17.2,0.516,True,-0.1362,62.0,4.0,0,0,0
Singapore,2023,VER,Red Bull Racing,59.0,96.748,MEDIUM,19.0,2.0,,,6.0,21,15.6,0.468,True,-0.1362,62.0,3.0,0,0,0
Singapore,2023,VER,Red Bull Racing,60.0,96.758,MEDIUM,20.0,2.0,,,6.0,1,14.0,0.42,True,-0.1362,62.0,2.0,0,0,0
Singapore,2023,VER,Red Bull Racing,61.0,96.575,MEDIUM,21.0,2.0,,,6.0,1,12.4,0.372,True,-0.1362,62.0,1.0,0,0,0
Singapore,2023,VER,Red Bull Racing,62.0,98.197,MEDIUM,22.0,2.0,,,5.0,12,10.8,0.324,True,-0.1362,62.0,0.0,0,0,0
Singapore,2023,GAS,Alpine,1.0,110.115,MEDIUM,1.0,1.0,,,11.0,12,108.4,3.252,False,-0.2201,62.0,61.0,0,0,0
Singapore,2023,GAS,Alpine,2.0,102.353,MEDIUM,2.0,1.0,,,11.0,12,106.8,3.204,True,-0.2201,62.0,60.0,0,0,0
Singapore,2023,GAS,Alpine,3.0,101.442,MEDIUM,3.0,1.0,,,11.0,1,105.2,3.156,True,-0.2201,62.0,59.0,0,0,0
Singapore,2023,GAS,Alpine,4.0,101.334,MEDIUM,4.0,1.0,,,11.0,1,103.6,3.108,True,-0.2201,62.0,58.0,0,0,0
Singapore,2023,GAS,Alpine,5.0,101.292,MEDIUM,5.0,1.0,,,11.0,1,102.0,3.06,True,-0.2201,62.0,57.0,0,0,0
Singapore,2023,GAS,Alpine,6.0,101.829,MEDIUM,6.0,1.0,,,11.0,1,100.4,3.012,True,-0.2201,62.0,56.0,0,0,0
Singapore,2023,GAS,Alpine,7.0,101.399,MEDIUM,7.0,1.0,,,11.0,1,98.8,2.964,True,-0.2201,62.0,55.0,0,0,0
Singapore,2023,GAS,Alpine,8.0,100.677,MEDIUM,8.0,1.0,,,11.0,1,97.2,2.916,True,-0.2201,62.0,54.0,0,0,0
Singapore,2023,GAS,Alpine,9.0,101.063,MEDIUM,9.0,1.0,,,11.0,1,95.6,2.868,True,-0.2201,62.0,53.0,0,0,0
Singapore,2023,GAS,Alpine,10.0,100.378,MEDIUM,10.0,1.0,,,11.0,1,94.0,2.82,True,-0.2201,62.0,52.0,0,0,0
Singapore,2023,GAS,Alpine,11.0,100.728,MEDIUM,11.0,1.0,,,11.0,1,92.4,2.772,True,-0.2201,62.0,51.0,0,0,0
Singapore,2023,GAS,Alpine,12.0,100.439,MEDIUM,12.0,1.0,,,11.0,1,90.8,2.724,True,-0.2201,62.0,50.0,0,0,0
Singapore,2023,GAS,Alpine,13.0,100.829,MEDIUM,13.0,1.0,,,11.0,1,89.2,2.676,True,-0.2201,62.0,49.0,0,0,0
Singapore,2023,GAS,Alpine,14.0,100.627,MEDIUM,14.0,1.0,,,11.0,1,87.6,2.628,True,-0.2201,62.0,48.0,0,0,0
Singapore,2023,GAS,Alpine,15.0,100.602,MEDIUM,15.0,1.0,,,11.0,1,86.0,2.58,True,-0.2201,62.0,47.0,0,0,0
Singapore,2023,GAS,Alpine,16.0,100.929,MEDIUM,16.0,1.0,,,11.0,1,84.4,2.532,True,-0.2201,62.0,46.0,0,0,0
Singapore,2023,GAS,Alpine,17.0,100.673,MEDIUM,17.0,1.0,,,11.0,1,82.8,2.484,True,-0.2201,62.0,45.0,0,0,0
Singapore,2023,GAS,Alpine,18.0,100.866,MEDIUM,18.0,1.0,,,11.0,1,81.2,2.436,True,-0.2201,62.0,44.0,0,0,0
Singapore,2023,GAS,Alpine,19.0,101.061,MEDIUM,19.0,1.0,,,11.0,12,79.6,2.388,True,-0.2201,62.0,43.0,0,0,0
Singapore,2023,GAS,Alpine,20.0,128.721,MEDIUM,20.0,1.0,5814.015,,12.0,14,78.0,2.34,False,-0.2201,62.0,42.0,0,0,1
Singapore,2023,GAS,Alpine,21.0,,HARD,1.0,2.0,,5845.812,12.0,4,76.4,2.292,False,-0.384,62.0,41.0,1,0,0
Singapore,2023,GAS,Alpine,22.0,140.73,HARD,2.0,2.0,,,12.0,41,74.8,2.244,False,-0.384,62.0,40.0,0,0,0
Singapore,2023,GAS,Alpine,23.0,103.344,HARD,3.0,2.0,,,11.0,1,73.2,2.196,True,-0.384,62.0,39.0,0,0,0
Singapore,2023,GAS,Alpine,24.0,102.407,HARD,4.0,2.0,,,11.0,1,71.6,2.148,True,-0.384,62.0,38.0,0,0,0
Singapore,2023,GAS,Alpine,25.0,101.048,HARD,5.0,2.0,,,11.0,1,70.0,2.1,True,-0.384,62.0,37.0,0,0,0
Singapore,2023,GAS,Alpine,26.0,100.92,HARD,6.0,2.0,,,11.0,1,68.4,2.052,True,-0.384,62.0,36.0,0,0,0
Singapore,2023,GAS,Alpine,27.0,100.396,HARD,7.0,2.0,,,11.0,1,66.8,2.004,True,-0.384,62.0,35.0,0,0,0
Singapore,2023,GAS,Alpine,28.0,101.536,HARD,8.0,2.0,,,11.0,1,65.2,1.956,True,-0.384,62.0,34.0,0,0,0
Singapore,2023,GAS,Alpine,29.0,101.706,HARD,9.0,2.0,,,11.0,1,63.6,1.908,True,-0.384,62.0,33.0,0,0,0
Singapore,2023,GAS,Alpine,30.0,100.28,HARD,10.0,2.0,,,11.0,1,62.0,1.86,True,-0.384,62.0,32.0,0,0,0
Singapore,2023,GAS,Alpine,31.0,99.974,HARD,11.0,2.0,,,11.0,1,60.4,1.812,True,-0.384,62.0,31.0,0,0,0
Singapore,2023,GAS,Alpine,32.0,100.406,HARD,12.0,2.0,,,11.0,1,58.8,1.764,True,-0.384,62.0,30.0,0,0,0
Singapore,2023,GAS,Alpine,33.0,100.154,HARD,13.0,2.0,,,11.0,1,57.2,1.716,True,-0.384,62.0,29.0,0,0,0
Singapore,2023,GAS,Alpine,34.0,101.321,HARD,14.0,2.0,,,11.0,1,55.6,1.668,True,-0.384,62.0,28.0,0,0,0
Singapore,2023,GAS,Alpine,35.0,102.563,HARD,15.0,2.0,,,11.0,1,54.0,1.62,True,-0.384,62.0,27.0,0,0,0
Singapore,2023,GAS,Alpine,36.0,99.965,HARD,16.0,2.0,,,10.0,1,52.4,1.572,True,-0.384,62.0,26.0,0,0,0
Singapore,2023,GAS,Alpine,37.0,100.508,HARD,17.0,2.0,,,10.0,1,50.8,1.524,True,-0.384,62.0,25.0,0,0,0
Singapore,2023,GAS,Alpine,38.0,101.261,HARD,18.0,2.0,,,10.0,1,49.2,1.476,True,-0.384,62.0,24.0,0,0,0
Singapore,2023,GAS,Alpine,39.0,102.86,HARD,19.0,2.0,,,9.0,1,47.6,1.428,True,-0.384,62.0,23.0,0,0,0
Singapore,2023,GAS,Alpine,40.0,99.885,HARD,20.0,2.0,,,9.0,1,46.0,1.38,True,-0.384,62.0,22.0,0,0,0
Singapore,2023,GAS,Alpine,41.0,99.934,HARD,21.0,2.0,,,8.0,1,44.4,1.332,True,-0.384,62.0,21.0,0,0,0
Singapore,2023,GAS,Alpine,42.0,99.835,HARD,22.0,2.0,,,8.0,1,42.8,1.284,True,-0.384,62.0,20.0,0,0,0
Singapore,2023,GAS,Alpine,43.0,110.491,HARD,23.0,2.0,,,7.0,126,41.2,1.236,False,-0.384,62.0,19.0,0,0,0
Singapore,2023,GAS,Alpine,44.0,137.976,HARD,24.0,2.0,,,6.0,6,39.6,1.188,False,-0.384,62.0,18.0,1,0,0
Singapore,2023,GAS,Alpine,45.0,111.238,HARD,25.0,2.0,,,6.0,671,38.0,1.14,False,-0.384,62.0,17.0,0,0,0
Singapore,2023,GAS,Alpine,46.0,98.277,HARD,26.0,2.0,,,6.0,1,36.4,1.092,True,-0.384,62.0,16.0,0,0,0
Singapore,2023,GAS,Alpine,47.0,98.568,HARD,27.0,2.0,,,6.0,12,34.8,1.044,True,-0.384,62.0,15.0,0,0,0
Singapore,2023,GAS,Alpine,48.0,98.548,HARD,28.0,2.0,,,6.0,1,33.2,0.996,True,-0.384,62.0,14.0,0,0,0
Singapore,2023,GAS,Alpine,49.0,98.634,HARD,29.0,2.0,,,6.0,1,31.6,0.948,True,-0.384,62.0,13.0,0,0,0
Singapore,2023,GAS,Alpine,50.0,98.688,HARD,30.0,2.0,,,6.0,1,30.0,0.9,True,-0.384,62.0,12.0,0,0,0
Singapore,2023,GAS,Alpine,51.0,98.525,HARD,31.0,2.0,,,6.0,1,28.4,0.852,True,-0.384,62.0,11.0,0,0,0
Singapore,2023,GAS,Alpine,52.0,98.755,HARD,32.0,2.0,,,6.0,1,26.8,0.804,True,-0.384,62.0,10.0,0,0,0
Singapore,2023,GAS,Alpine,53.0,98.718,HARD,33.0,2.0,,,6.0,12,25.2,0.756,True,-0.384,62.0,9.0,0,0,0
Singapore,2023,GAS,Alpine,54.0,98.844,HARD,34.0,2.0,,,6.0,1,23.6,0.708,True,-0.384,62.0,8.0,0,0,0
Singapore,2023,GAS,Alpine,55.0,99.373,HARD,35.0,2.0,,,6.0,1,22.0,0.66,True,-0.384,62.0,7.0,0,0,0
Singapore,2023,GAS,Alpine,56.0,99.292,HARD,36.0,2.0,,,6.0,1,20.4,0.612,True,-0.384,62.0,6.0,0,0,0
Singapore,2023,GAS,Alpine,57.0,100.874,HARD,37.0,2.0,,,7.0,1,18.8,0.564,True,-0.384,62.0,5.0,0,0,0
Singapore,2023,GAS,Alpine,58.0,99.658,HARD,38.0,2.0,,,7.0,12,17.2,0.516,True,-0.384,62.0,4.0,0,0,0
Singapore,2023,GAS,Alpine,59.0,99.709,HARD,39.0,2.0,,,7.0,21,15.6,0.468,True,-0.384,62.0,3.0,0,0,0
Singapore,2023,GAS,Alpine,60.0,99.62,HARD,40.0,2.0,,,7.0,1,14.0,0.42,True,-0.384,62.0,2.0,0,0,0
Singapore,2023,GAS,Alpine,61.0,99.711,HARD,41.0,2.0,,,7.0,1,12.4,0.372,True,-0.384,62.0,1.0,0,0,0
Singapore,2023,GAS,Alpine,62.0,102.273,HARD,42.0,2.0,,,6.0,12,10.8,0.324,True,-0.384,62.0,0.0,0,0,0
Singapore,2023,PER,Red Bull Racing,1.0,111.589,HARD,1.0,1.0,,,13.0,12,108.4,3.252,False,0.071,62.0,61.0,0,0,0
Singapore,2023,PER,Red Bull Racing,2.0,102.009,HARD,2.0,1.0,,,13.0,12,106.8,3.204,True,0.071,62.0,60.0,0,0,0
Singapore,2023,PER,Red Bull Racing,3.0,101.622,HARD,3.0,1.0,,,13.0,1,105.2,3.156,True,0.071,62.0,59.0,0,0,0
Singapore,2023,PER,Red Bull Racing,4.0,101.354,HARD,4.0,1.0,,,13.0,1,103.6,3.108,True,0.071,62.0,58.0,0,0,0
Singapore,2023,PER,Red Bull Racing,5.0,101.331,HARD,5.0,1.0,,,13.0,1,102.0,3.06,True,0.071,62.0,57.0,0,0,0
Singapore,2023,PER,Red Bull Racing,6.0,103.147,HARD,6.0,1.0,,,13.0,1,100.4,3.012,True,0.071,62.0,56.0,0,0,0
Singapore,2023,PER,Red Bull Racing,7.0,101.353,HARD,7.0,1.0,,,13.0,1,98.8,2.964,True,0.071,62.0,55.0,0,0,0
Singapore,2023,PER,Red Bull Racing,8.0,100.556,HARD,8.0,1.0,,,13.0,1,97.2,2.916,True,0.071,62.0,54.0,0,0,0
Singapore,2023,PER,Red Bull Racing,9.0,100.694,HARD,9.0,1.0,,,13.0,1,95.6,2.868,True,0.071,62.0,53.0,0,0,0
Singapore,2023,PER,Red Bull Racing,10.0,100.643,HARD,10.0,1.0,,,13.0,1,94.0,2.82,True,0.071,62.0,52.0,0,0,0
Singapore,2023,PER,Red Bull Racing,11.0,100.693,HARD,11.0,1.0,,,13.0,1,92.4,2.772,True,0.071,62.0,51.0,0,0,0
Singapore,2023,PER,Red Bull Racing,12.0,100.715,HARD,12.0,1.0,,,13.0,1,90.8,2.724,True,0.071,62.0,50.0,0,0,0
Singapore,2023,PER,Red Bull Racing,13.0,100.843,HARD,13.0,1.0,,,13.0,1,89.2,2.676,True,0.071,62.0,49.0,0,0,0
Singapore,2023,PER,Red Bull Racing,14.0,100.314,HARD,14.0,1.0,,,13.0,1,87.6,2.628,True,0.071,62.0,48.0,0,0,0
Singapore,2023,PER,Red Bull Racing,15.0,100.538,HARD,15.0,1.0,,,13.0,1,86.0,2.58,True,0.071,62.0,47.0,0,0,0
Singapore,2023,PER,Red Bull Racing,16.0,100.688,HARD,16.0,1.0,,,13.0,1,84.4,2.532,True,0.071,62.0,46.0,0,0,0
Singapore,2023,PER,Red Bull Racing,17.0,100.987,HARD,17.0,1.0,,,13.0,1,82.8,2.484,True,0.071,62.0,45.0,0,0,0
Singapore,2023,PER,Red Bull Racing,18.0,101.077,HARD,18.0,1.0,,,13.0,1,81.2,2.436,True,0.071,62.0,44.0,0,0,0
Singapore,2023,PER,Red Bull Racing,19.0,101.404,HARD,19.0,1.0,,,13.0,12,79.6,2.388,True,0.071,62.0,43.0,0,0,0
Singapore,2023,PER,Red Bull Racing,20.0,121.114,HARD,20.0,1.0,,,9.0,14,78.0,2.34,False,0.071,62.0,42.0,0,0,0
Singapore,2023,PER,Red Bull Racing,21.0,,HARD,21.0,1.0,,,4.0,4,76.4,2.292,False,0.071,62.0,41.0,1,0,0
Singapore,2023,PER,Red Bull Racing,22.0,148.562,HARD,22.0,1.0,,,4.0,41,74.8,2.244,False,0.071,62.0,40.0,0,0,0
Singapore,2023,PER,Red Bull Racing,23.0,104.195,HARD,23.0,1.0,,,5.0,1,73.2,2.196,True,0.071,62.0,39.0,0,0,0
Singapore,2023,PER,Red Bull Racing,24.0,102.735,HARD,24.0,1.0,,,6.0,1,71.6,2.148,True,0.071,62.0,38.0,0,0,0
Singapore,2023,PER,Red Bull Racing,25.0,101.532,HARD,25.0,1.0,,,7.0,1,70.0,2.1,True,0.071,62.0,37.0,0,0,0
Singapore,2023,PER,Red Bull Racing,26.0,100.595,HARD,26.0,1.0,,,7.0,1,68.4,2.052,True,0.071,62.0,36.0,0,0,0
Singapore,2023,PER,Red Bull Racing,27.0,100.5,HARD,27.0,1.0,,,7.0,1,66.8,2.004,True,0.071,62.0,35.0,0,0,0
Singapore,2023,PER,Red Bull Racing,28.0,101.833,HARD,28.0,1.0,,,7.0,1,65.2,1.956,True,0.071,62.0,34.0,0,0,0
Singapore,2023,PER,Red Bull Racing,29.0,100.29,HARD,29.0,1.0,,,7.0,1,63.6,1.908,True,0.071,62.0,33.0,0,0,0
Singapore,2023,PER,Red Bull Racing,30.0,100.319,HARD,30.0,1.0,,,7.0,1,62.0,1.86,True,0.071,62.0,32.0,0,0,0
Singapore,2023,PER,Red Bull Racing,31.0,100.205,HARD,31.0,1.0,,,7.0,1,60.4,1.812,True,0.071,62.0,31.0,0,0,0
Singapore,2023,PER,Red Bull Racing,32.0,100.254,HARD,32.0,1.0,,,7.0,1,58.8,1.764,True,0.071,62.0,30.0,0,0,0
Singapore,2023,PER,Red Bull Racing,33.0,100.355,HARD,33.0,1.0,,,7.0,1,57.2,1.716,True,0.071,62.0,29.0,0,0,0
Singapore,2023,PER,Red Bull Racing,34.0,100.822,HARD,34.0,1.0,,,7.0,1,55.6,1.668,True,0.071,62.0,28.0,0,0,0
Singapore,2023,PER,Red Bull Racing,35.0,100.326,HARD,35.0,1.0,,,7.0,1,54.0,1.62,True,0.071,62.0,27.0,0,0,0
Singapore,2023,PER,Red Bull Racing,36.0,101.489,HARD,36.0,1.0,,,7.0,1,52.4,1.572,True,0.071,62.0,26.0,0,0,0
Singapore,2023,PER,Red Bull Racing,37.0,103.171,HARD,37.0,1.0,,,7.0,1,50.8,1.524,True,0.071,62.0,25.0,0,0,0
Singapore,2023,PER,Red Bull Racing,38.0,101.321,HARD,38.0,1.0,,,7.0,1,49.2,1.476,True,0.071,62.0,24.0,0,0,0
Singapore,2023,PER,Red Bull Racing,39.0,113.087,HARD,39.0,1.0,7853.586,,15.0,1,47.6,1.428,False,0.071,62.0,23.0,0,0,1
Singapore,2023,PER,Red Bull Racing,40.0,119.337,MEDIUM,1.0,2.0,,7882.57,18.0,1,46.0,1.38,False,-0.1747,62.0,22.0,0,0,0
Singapore,2023,PER,Red Bull Racing,41.0,98.551,MEDIUM,2.0,2.0,,,17.0,1,44.4,1.332,True,-0.1747,62.0,21.0,0,0,0
Singapore,2023,PER,Red Bull Racing,42.0,98.709,MEDIUM,3.0,2.0,,,17.0,12,42.8,1.284,True,-0.1747,62.0,20.0,0,0,0
Singapore,2023,PER,Red Bull Racing,43.0,120.69,MEDIUM,4.0,2.0,,,15.0,26,41.2,1.236,False,-0.1747,62.0,19.0,0,0,0
Singapore,2023,PER,Red Bull Racing,44.0,137.392,MEDIUM,5.0,2.0,,,14.0,67,39.6,1.188,False,-0.1747,62.0,18.0,0,0,0
Singapore,2023,PER,Red Bull Racing,45.0,100.229,MEDIUM,6.0,2.0,,,13.0,71,38.0,1.14,False,-0.1747,62.0,17.0,0,0,0
