Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Singapore,2023,VER,Red Bull Racing,35.0,100.266,29.137,43.13,27.999,HARD,35.0,1.0,,,6.0,1,True,True,54.0,1.62,289.0,261.0,244.0,281.0
Singapore,2023,VER,Red Bull Racing,36.0,100.372,29.08,43.147,28.145,HARD,36.0,1.0,,,6.0,1,True,True,52.4,1.572,289.0,263.0,241.0,284.0
Singapore,2023,VER,Red Bull Racing,37.0,100.224,29.14,43.006,28.078,HARD,37.0,1.0,,,6.0,1,True,True,50.8,1.524,290.0,262.0,241.0,283.0
Singapore,2023,VER,Red Bull Racing,38.0,100.61,29.19,43.225,28.195,HARD,38.0,1.0,,,6.0,1,True,True,49.2,1.476,289.0,262.0,243.0,284.0
Singapore,2023,VER,Red Bull Racing,39.0,101.173,29.285,43.547,28.341,HARD,39.0,1.0,,,6.0,1,True,True,47.6,1.428,290.0,262.0,243.0,283.0
Singapore,2023,VER,Red Bull Racing,40.0,108.808,29.206,43.467,36.135,HARD,40.0,1.0,7941.491,,6.0,1,False,True,46.0,1.38,289.0,262.0,,283.0
Singapore,2023,VER,Red Bull Racing,41.0,119.248,50.246,41.626,27.376,MEDIUM,1.0,2.0,,7971.162,15.0,1,False,True,44.4,1.332,286.0,261.0,248.0,283.0
Singapore,2023,VER,Red Bull Racing,42.0,97.713,28.603,41.522,27.588,MEDIUM,2.0,2.0,,,15.0,1,True,True,42.8,1.284,288.0,263.0,250.0,284.0
Singapore,2023,VER,Red Bull Racing,43.0,116.357,29.711,49.36,37.286,MEDIUM,3.0,2.0,,,13.0,126,False,True,41.2,1.236,310.0,177.0,198.0,290.0
Singapore,2023,VER,Red Bull Racing,44.0,137.522,40.972,58.004,38.546,MEDIUM,4.0,2.0,,,12.0,6,False,True,39.6,1.188,248.0,154.0,211.0,239.0
Singapore,2023,VER,Red Bull Racing,45.0,104.939,35.63,41.895,27.414,MEDIUM,5.0,2.0,,,11.0,671,False,True,38.0,1.14,283.0,260.0,248.0,183.0
Singapore,2023,VER,Red Bull Racing,46.0,97.57,28.654,41.533,27.383,MEDIUM,6.0,2.0,,,11.0,1,True,True,36.4,1.092,292.0,262.0,249.0,283.0
Singapore,2023,VER,Red Bull Racing,47.0,98.09,28.369,42.457,27.264,MEDIUM,7.0,2.0,,,10.0,12,True,True,34.8,1.044,307.0,274.0,249.0,286.0
Singapore,2023,VER,Red Bull Racing,48.0,98.333,28.439,42.401,27.493,MEDIUM,8.0,2.0,,,9.0,1,True,True,33.2,0.996,309.0,276.0,250.0,283.0
Singapore,2023,VER,Red Bull Racing,49.0,97.085,28.514,41.362,27.209,MEDIUM,9.0,2.0,,,9.0,1,True,True,31.6,0.948,290.0,261.0,251.0,281.0
Singapore,2023,VER,Red Bull Racing,50.0,99.006,28.78,42.024,28.202,MEDIUM,10.0,2.0,,,8.0,1,True,True,30.0,0.9,293.0,278.0,251.0,285.0
Singapore,2023,VER,Red Bull Racing,51.0,97.144,28.628,41.326,27.19,MEDIUM,11.0,2.0,,,8.0,1,True,True,28.4,0.852,286.0,261.0,249.0,280.0
Singapore,2023,VER,Red Bull Racing,52.0,96.835,28.472,41.24,27.123,MEDIUM,12.0,2.0,,,8.0,1,True,True,26.8,0.804,289.0,263.0,252.0,286.0
Singapore,2023,VER,Red Bull Racing,53.0,97.132,28.473,41.433,27.226,MEDIUM,13.0,2.0,,,8.0,12,True,True,25.2,0.756,292.0,262.0,250.0,286.0
Singapore,2023,VER,Red Bull Racing,54.0,98.196,28.438,42.164,27.594,MEDIUM,14.0,2.0,,,7.0,1,True,True,23.6,0.708,312.0,280.0,252.0,285.0
Singapore,2023,VER,Red Bull Racing,55.0,96.899,28.515,41.295,27.089,MEDIUM,15.0,2.0,,,7.0,1,True,True,22.0,0.66,289.0,262.0,251.0,284.0
Singapore,2023,VER,Red Bull Racing,56.0,97.519,28.578,41.452,27.489,MEDIUM,16.0,2.0,,,7.0,1,True,True,20.4,0.612,291.0,273.0,252.0,286.0
Singapore,2023,VER,Red Bull Racing,57.0,99.299,28.694,42.968,27.637,MEDIUM,17.0,2.0,,,6.0,1,True,True,18.8,0.564,316.0,276.0,249.0,299.0
Singapore,2023,VER,Red Bull Racing,58.0,96.912,28.514,41.186,27.212,MEDIUM,18.0,2.0,,,6.0,12,True,True,17.2,0.516,286.0,259.0,251.0,279.0
Singapore,2023,VER,Red Bull Racing,59.0,96.748,28.471,41.224,27.053,MEDIUM,19.0,2.0,,,6.0,21,True,True,15.6,0.468,289.0,262.0,251.0,283.0
Singapore,2023,VER,Red Bull Racing,60.0,96.758,28.486,41.22,27.052,MEDIUM,20.0,2.0,,,6.0,1,True,True,14.0,0.42,289.0,263.0,252.0,284.0
Singapore,2023,VER,Red Bull Racing,61.0,96.575,28.434,41.086,27.055,MEDIUM,21.0,2.0,,,6.0,1,True,True,12.4,0.372,292.0,266.0,248.0,284.0
Singapore,2023,VER,Red Bull Racing,62.0,98.197,28.493,41.975,27.729,MEDIUM,22.0,2.0,,,5.0,12,True,True,10.8,0.324,293.0,267.0,252.0,287.0
Singapore,2023,GAS,Alpine,1.0,110.115,,46.116,28.644,MEDIUM,1.0,1.0,,,11.0,12,False,True,108.4,3.252,293.0,261.0,243.0,231.0
Singapore,2023,GAS,Alpine,2.0,102.353,29.97,43.39,28.993,MEDIUM,2.0,1.0,,,11.0,12,True,True,106.8,3.204,277.0,263.0,243.0,277.0
