Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
Singapore,2023,ALB,Williams,52.0,100.048,28.475,42.89,28.683,MEDIUM,9.0,317.0,277.0,245.0,300.0,43.065,0.8816
Singapore,2023,ALB,Williams,53.0,99.613,28.804,43.12,27.689,MEDIUM,10.0,307.0,267.0,249.0,298.0,43.21,0.953
Singapore,2023,ALB,Williams,54.0,98.226,28.577,42.134,27.515,MEDIUM,11.0,296.0,268.0,249.0,283.0,42.987,0.9141
Singapore,2023,ALB,Williams,55.0,97.656,28.542,41.718,27.396,MEDIUM,12.0,297.0,269.0,250.0,288.0,42.989,1.0234
Singapore,2023,ALB,Williams,56.0,98.387,28.622,42.088,27.677,MEDIUM,13.0,297.0,267.0,250.0,289.0,43.152,1.0033
Singapore,2023,ALB,Williams,57.0,101.555,28.5,44.326,28.729,MEDIUM,14.0,314.0,277.0,248.0,301.0,42.924,1.553
Singapore,2023,ALB,Williams,58.0,117.964,28.867,60.235,28.862,MEDIUM,15.0,313.0,266.0,248.0,300.0,42.902,8.6363
Singapore,2023,ALB,Williams,59.0,100.685,29.594,43.123,27.968,MEDIUM,16.0,317.0,276.0,246.0,300.0,42.858,8.38
Singapore,2023,ALB,Williams,60.0,99.668,29.054,42.875,27.739,MEDIUM,17.0,314.0,276.0,250.0,302.0,43.035,8.0874
Singapore,2023,ALB,Williams,61.0,98.501,28.492,42.521,27.488,MEDIUM,18.0,311.0,272.0,250.0,301.0,43.021,8.069
Singapore,2023,ALB,Williams,62.0,99.891,28.458,43.686,27.747,MEDIUM,19.0,313.0,269.0,246.0,301.0,42.462,8.2114
Singapore,2023,ALO,Aston Martin,2.0,102.255,29.577,44.018,28.66,MEDIUM,2.0,278.0,263.0,243.0,279.0,42.169,
Singapore,2023,ALO,Aston Martin,3.0,101.349,29.239,43.697,28.413,MEDIUM,3.0,284.0,264.0,244.0,286.0,42.502,
Singapore,2023,ALO,Aston Martin,4.0,101.356,29.331,43.404,28.621,MEDIUM,4.0,287.0,263.0,242.0,283.0,42.119,0.5211
Singapore,2023,ALO,Aston Martin,5.0,101.194,29.345,43.476,28.373,MEDIUM,5.0,293.0,265.0,245.0,294.0,42.39,0.4835
Singapore,2023,ALO,Aston Martin,6.0,100.686,29.186,43.194,28.306,MEDIUM,6.0,286.0,263.0,243.0,297.0,42.674,0.5663
Singapore,2023,ALO,Aston Martin,7.0,100.774,29.341,43.249,28.184,MEDIUM,7.0,291.0,263.0,243.0,282.0,42.286,0.3202
Singapore,2023,ALO,Aston Martin,8.0,100.21,29.229,42.747,28.234,MEDIUM,8.0,290.0,261.0,242.0,285.0,42.456,0.4518
Singapore,2023,ALO,Aston Martin,9.0,100.422,29.262,42.795,28.365,MEDIUM,9.0,292.0,265.0,244.0,286.0,42.593,0.3735
Singapore,2023,ALO,Aston Martin,10.0,100.555,29.379,42.947,28.229,MEDIUM,10.0,291.0,264.0,243.0,286.0,42.1,0.2228
Singapore,2023,ALO,Aston Martin,11.0,100.147,29.359,42.729,28.059,MEDIUM,11.0,288.0,264.0,243.0,283.0,42.343,0.256
Singapore,2023,ALO,Aston Martin,12.0,100.383,29.306,42.802,28.275,MEDIUM,12.0,293.0,264.0,245.0,283.0,42.245,0.165
Singapore,2023,ALO,Aston Martin,13.0,100.554,29.407,42.932,28.215,MEDIUM,13.0,285.0,263.0,242.0,287.0,42.257,0.1672
Singapore,2023,ALO,Aston Martin,14.0,100.18,29.252,42.845,28.083,MEDIUM,14.0,291.0,265.0,243.0,286.0,42.138,0.1961
Singapore,2023,ALO,Aston Martin,15.0,100.095,29.271,42.848,27.976,MEDIUM,15.0,295.0,265.0,243.0,284.0,42.572,0.1919
Singapore,2023,ALO,Aston Martin,16.0,100.238,29.292,42.883,28.063,MEDIUM,16.0,293.0,264.0,243.0,287.0,42.142,0.1811
Singapore,2023,ALO,Aston Martin,17.0,100.499,29.315,43.044,28.14,MEDIUM,17.0,294.0,264.0,243.0,284.0,41.97,0.2022
Singapore,2023,ALO,Aston Martin,18.0,100.316,29.325,42.969,28.022,MEDIUM,18.0,295.0,264.0,243.0,286.0,42.136,0.1535
Singapore,2023,ALO,Aston Martin,19.0,100.346,29.305,42.939,28.102,MEDIUM,19.0,295.0,265.0,243.0,286.0,42.021,0.1482
Singapore,2023,ALO,Aston Martin,23.0,103.291,29.517,44.575,29.199,HARD,3.0,290.0,264.0,243.0,288.0,42.538,1.3188
Singapore,2023,ALO,Aston Martin,24.0,103.137,30.13,44.293,28.714,HARD,4.0,293.0,265.0,244.0,277.0,42.227,1.5509
Singapore,2023,ALO,Aston Martin,25.0,100.689,29.001,43.344,28.344,HARD,5.0,311.0,269.0,247.0,288.0,42.399,1.5218
Singapore,2023,ALO,Aston Martin,26.0,100.896,29.213,43.578,28.105,HARD,6.0,311.0,274.0,245.0,300.0,42.446,1.4225
Singapore,2023,ALO,Aston Martin,27.0,100.185,29.144,43.054,27.987,HARD,7.0,301.0,274.0,249.0,298.0,42.238,1.4613
Singapore,2023,ALO,Aston Martin,28.0,101.931,29.037,44.36,28.534,HARD,8.0,316.0,276.0,247.0,293.0,42.134,1.1758
Singapore,2023,ALO,Aston Martin,29.0,101.292,29.218,43.966,28.108,HARD,9.0,311.0,263.0,245.0,296.0,42.128,0.6565
Singapore,2023,ALO,Aston Martin,30.0,100.128,29.288,42.849,27.991,HARD,10.0,287.0,266.0,246.0,288.0,42.696,0.7621
Singapore,2023,ALO,Aston Martin,31.0,100.049,29.155,42.805,28.089,HARD,11.0,290.0,267.0,243.0,286.0,42.294,0.8486
Singapore,2023,ALO,Aston Martin,32.0,100.39,29.398,43.028,27.964,HARD,12.0,284.0,266.0,247.0,288.0,42.331,0.821
Singapore,2023,ALO,Aston Martin,33.0,99.636,29.128,42.576,27.932,HARD,13.0,296.0,275.0,248.0,286.0,41.798,0.6176
Singapore,2023,ALO,Aston Martin,34.0,100.578,29.005,43.261,28.312,HARD,14.0,301.0,276.0,246.0,300.0,42.096,0.359
Singapore,2023,ALO,Aston Martin,35.0,100.626,29.119,43.293,28.214,HARD,15.0,310.0,274.0,247.0,299.0,42.162,0.4141
Singapore,2023,ALO,Aston Martin,36.0,101.265,29.044,43.653,28.568,HARD,16.0,292.0,276.0,247.0,299.0,42.345,0.5843
Singapore,2023,ALO,Aston Martin,37.0,104.094,29.101,46.165,28.828,HARD,17.0,315.0,271.0,246.0,300.0,41.318,1.6981
Singapore,2023,ALO,Aston Martin,38.0,101.208,29.19,43.57,28.448,HARD,18.0,308.0,267.0,246.0,298.0,42.108,1.455
Singapore,2023,ALO,Aston Martin,39.0,102.062,29.165,44.647,28.25,HARD,19.0,308.0,275.0,246.0,298.0,42.076,1.354
Singapore,2023,ALO,Aston Martin,40.0,100.154,29.284,42.918,27.952,HARD,20.0,293.0,267.0,245.0,289.0,42.221,1.472
Singapore,2023,ALO,Aston Martin,41.0,100.18,29.031,42.969,28.18,HARD,21.0,296.0,264.0,245.0,288.0,41.919,1.6337
Singapore,2023,ALO,Aston Martin,42.0,100.146,29.285,42.92,27.941,HARD,22.0,294.0,267.0,245.0,288.0,41.944,0.8626
Singapore,2023,ALO,Aston Martin,46.0,113.333,28.372,41.177,43.784,SOFT,4.0,295.0,267.0,251.0,289.0,43.509,5.7379
Singapore,2023,ALO,Aston Martin,47.0,96.456,28.406,41.067,26.983,SOFT,5.0,294.0,266.0,249.0,287.0,42.491,6.5061
