Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Race,Season
0 days 01:04:10.335000,25.1,49.0,1008.7,False,43.3,195,1.0,Azerbaijan,2023
0 days 01:05:10.334000,25.0,50.0,1008.7,False,43.3,174,2.2,Azerbaijan,2023
0 days 01:06:10.349000,25.0,49.0,1008.7,False,42.9,222,1.2,Azerbaijan,2023
0 days 01:07:10.363000,25.0,49.0,1008.7,False,43.1,160,1.3,Azerbaijan,2023
0 days 01:08:10.346000,25.0,49.0,1008.7,False,43.1,16,0.4,Azerbaijan,2023
0 days 01:09:10.345000,24.9,49.0,1008.7,False,43.1,9,1.0,Azerbaijan,2023
0 days 01:10:10.360000,24.9,50.0,1008.7,False,43.0,233,1.1,Azerbaijan,2023
0 days 01:11:10.343000,25.0,50.0,1008.5,False,43.2,138,0.8,Azerbaijan,2023
0 days 01:12:10.342000,25.0,49.0,1008.5,False,43.3,275,1.0,Azerbaijan,2023
0 days 01:13:10.341000,24.8,49.0,1008.5,False,43.3,154,0.6,Azerbaijan,2023
0 days 01:14:10.340000,24.8,49.0,1008.5,False,42.3,21,0.6,Azerbaijan,2023
0 days 01:15:10.339000,24.8,50.0,1008.5,False,41.6,64,1.5,Azerbaijan,2023
0 days 01:16:10.338000,24.8,51.0,1008.5,False,41.7,0,0.8,Azerbaijan,2023
0 days 01:17:10.337000,25.0,50.0,1008.4,False,41.7,106,0.8,Azerbaijan,2023
0 days 01:18:10.336000,25.0,50.0,1008.5,False,42.0,295,0.6,Azerbaijan,2023
0 days 01:19:10.350000,25.0,49.0,1008.4,False,42.2,74,0.8,Azerbaijan,2023
0 days 01:20:10.396000,25.0,50.0,1008.2,False,42.4,148,0.8,Azerbaijan,2023
0 days 01:21:10.348000,25.2,48.0,1008.2,False,42.7,56,0.8,Azerbaijan,2023
0 days 01:22:10.347000,25.2,49.0,1008.2,False,42.6,23,0.8,Azerbaijan,2023
