Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
British,2023,ALO,Aston Martin,3.0,93.424,29.461,38.136,25.827,MEDIUM,4.0,314.0,257.0,244.0,319.0,41.481,
British,2023,ALO,Aston Martin,4.0,93.156,29.311,37.956,25.889,MEDIUM,5.0,313.0,255.0,244.0,322.0,41.52,0.6655
British,2023,ALO,Aston Martin,5.0,94.157,29.7,38.245,26.212,MEDIUM,6.0,297.0,254.0,244.0,309.0,40.903,0.5962
British,2023,ALO,Aston Martin,6.0,94.636,29.935,38.452,26.249,MEDIUM,7.0,305.0,252.0,244.0,300.0,41.162,0.6403
British,2023,ALO,Aston Martin,7.0,94.645,29.904,38.838,25.903,MEDIUM,8.0,297.0,255.0,244.0,319.0,41.19,0.6872
British,2023,ALO,Aston Martin,8.0,94.019,29.808,38.063,26.148,MEDIUM,9.0,299.0,253.0,243.0,304.0,40.815,0.6088
British,2023,ALO,Aston Martin,9.0,93.657,29.725,37.858,26.074,MEDIUM,10.0,299.0,254.0,244.0,306.0,40.353,0.4228
British,2023,ALO,Aston Martin,10.0,93.711,29.682,37.85,26.179,MEDIUM,11.0,298.0,254.0,246.0,301.0,40.105,0.4829
British,2023,ALO,Aston Martin,11.0,93.737,29.728,37.938,26.071,MEDIUM,12.0,297.0,253.0,245.0,301.0,40.345,0.4111
British,2023,ALO,Aston Martin,12.0,93.951,29.945,37.914,26.092,MEDIUM,13.0,297.0,253.0,245.0,298.0,40.138,0.1597
British,2023,ALO,Aston Martin,13.0,93.565,29.782,37.746,26.037,MEDIUM,14.0,297.0,255.0,245.0,296.0,41.175,0.1429
British,2023,ALO,Aston Martin,14.0,93.88,29.998,37.888,25.994,MEDIUM,15.0,294.0,253.0,245.0,297.0,40.62,0.1512
British,2023,ALO,Aston Martin,15.0,93.736,29.935,37.836,25.965,MEDIUM,16.0,294.0,255.0,246.0,299.0,40.963,0.1492
British,2023,ALO,Aston Martin,16.0,93.437,29.883,37.682,25.872,MEDIUM,17.0,294.0,254.0,246.0,298.0,40.703,0.214
British,2023,ALO,Aston Martin,17.0,93.188,29.839,37.445,25.904,MEDIUM,18.0,296.0,255.0,245.0,302.0,41.056,0.2678
British,2023,ALO,Aston Martin,18.0,93.317,29.918,37.584,25.815,MEDIUM,19.0,295.0,255.0,247.0,300.0,40.681,0.2891
British,2023,ALO,Aston Martin,19.0,93.185,29.909,37.553,25.723,MEDIUM,20.0,294.0,255.0,247.0,301.0,39.768,0.2283
British,2023,ALO,Aston Martin,20.0,93.016,29.725,37.534,25.757,MEDIUM,21.0,295.0,253.0,247.0,300.0,40.449,0.1581
British,2023,ALO,Aston Martin,21.0,93.19,29.899,37.508,25.783,MEDIUM,22.0,294.0,254.0,247.0,300.0,40.79,0.1071
British,2023,ALO,Aston Martin,22.0,93.092,29.805,37.487,25.8,MEDIUM,23.0,294.0,255.0,247.0,300.0,40.438,0.1135
British,2023,ALO,Aston Martin,23.0,93.026,29.727,37.577,25.722,MEDIUM,24.0,293.0,255.0,247.0,299.0,40.753,0.0835
British,2023,ALO,Aston Martin,24.0,93.017,29.916,37.416,25.685,MEDIUM,25.0,294.0,254.0,247.0,301.0,40.61,0.075
British,2023,ALO,Aston Martin,25.0,93.078,29.773,37.637,25.668,MEDIUM,26.0,294.0,256.0,247.0,299.0,41.037,0.0692
British,2023,ALO,Aston Martin,26.0,93.152,29.82,37.724,25.608,MEDIUM,27.0,295.0,255.0,248.0,303.0,41.031,0.0547
British,2023,ALO,Aston Martin,27.0,92.914,29.825,37.593,25.496,MEDIUM,28.0,294.0,255.0,248.0,301.0,40.655,0.0874
British,2023,ALO,Aston Martin,28.0,92.744,29.672,37.545,25.527,MEDIUM,29.0,294.0,254.0,248.0,302.0,40.867,0.1586
British,2023,ALO,Aston Martin,29.0,92.727,29.803,37.454,25.47,MEDIUM,30.0,294.0,256.0,249.0,300.0,39.499,0.1917
British,2023,ALO,Aston Martin,30.0,92.686,29.735,37.458,25.493,MEDIUM,31.0,294.0,256.0,248.0,300.0,40.897,0.1926
British,2023,ALO,Aston Martin,31.0,92.916,29.818,37.416,25.682,MEDIUM,32.0,294.0,255.0,248.0,302.0,40.7,0.1094
British,2023,ALO,Aston Martin,39.0,92.32,29.309,37.273,25.738,SOFT,9.0,292.0,260.0,249.0,304.0,40.982,0.2189
British,2023,ALO,Aston Martin,40.0,91.691,29.268,37.03,25.393,SOFT,10.0,307.0,260.0,250.0,312.0,40.849,0.485
British,2023,ALO,Aston Martin,41.0,91.652,29.164,37.087,25.401,SOFT,11.0,318.0,261.0,249.0,312.0,40.661,0.572
British,2023,ALO,Aston Martin,42.0,91.829,29.264,37.063,25.502,SOFT,12.0,300.0,259.0,250.0,306.0,40.582,0.5371
British,2023,ALO,Aston Martin,43.0,91.747,29.351,36.95,25.446,SOFT,13.0,302.0,258.0,249.0,306.0,40.231,0.2722
British,2023,ALO,Aston Martin,44.0,92.131,29.444,37.102,25.585,SOFT,14.0,302.0,257.0,248.0,306.0,40.522,0.1914
British,2023,ALO,Aston Martin,45.0,92.036,29.361,37.053,25.622,SOFT,15.0,302.0,261.0,247.0,309.0,40.37,0.1998
British,2023,ALO,Aston Martin,46.0,92.891,29.365,37.132,26.394,SOFT,16.0,299.0,260.0,246.0,308.0,39.83,0.4542
British,2023,ALO,Aston Martin,47.0,91.828,29.292,37.162,25.374,SOFT,17.0,316.0,261.0,248.0,321.0,40.432,0.4544
British,2023,ALO,Aston Martin,48.0,91.338,29.103,36.926,25.309,SOFT,18.0,315.0,261.0,248.0,318.0,39.868,0.5635
British,2023,ALO,Aston Martin,49.0,92.075,29.414,37.105,25.556,SOFT,19.0,303.0,260.0,249.0,302.0,39.716,0.5619
