Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
British,2023,VER,Red Bull Racing,35.0,147.771,48.617,59.552,39.602,SOFT,5.0,2.0,,,1.0,4,False,False,54.0,1.62,126.0,202.0,148.0,222.0
British,2023,VER,Red Bull Racing,36.0,146.545,52.402,57.524,36.619,SOFT,6.0,2.0,,,1.0,4,False,False,52.4,1.572,165.0,187.0,149.0,250.0
British,2023,VER,Red Bull Racing,37.0,143.835,49.228,57.444,37.163,SOFT,7.0,2.0,,,1.0,4,False,False,50.8,1.524,124.0,204.0,163.0,234.0
British,2023,VER,Red Bull Racing,38.0,141.674,41.251,57.488,42.935,SOFT,8.0,2.0,,,1.0,41,False,False,49.2,1.476,258.0,197.0,251.0,85.0
British,2023,VER,Red Bull Racing,39.0,90.348,28.668,36.724,24.956,SOFT,9.0,2.0,,,1.0,1,True,False,47.6,1.428,298.0,260.0,249.0,289.0
British,2023,VER,Red Bull Racing,40.0,90.547,29.056,36.602,24.889,SOFT,10.0,2.0,,,1.0,1,True,False,46.0,1.38,291.0,261.0,249.0,290.0
British,2023,VER,Red Bull Racing,41.0,90.688,29.118,36.63,24.94,SOFT,11.0,2.0,,,1.0,1,True,False,44.4,1.332,294.0,261.0,250.0,294.0
British,2023,VER,Red Bull Racing,42.0,90.275,29.078,36.353,24.844,SOFT,12.0,2.0,,,1.0,1,True,False,42.8,1.284,294.0,264.0,250.0,293.0
British,2023,VER,Red Bull Racing,43.0,90.535,29.205,36.344,24.986,SOFT,13.0,2.0,,,1.0,1,True,False,41.2,1.236,295.0,262.0,248.0,294.0
British,2023,VER,Red Bull Racing,44.0,90.648,29.135,36.586,24.927,SOFT,14.0,2.0,,,1.0,1,True,False,39.6,1.188,295.0,262.0,250.0,293.0
British,2023,VER,Red Bull Racing,45.0,91.342,29.245,36.759,25.338,SOFT,15.0,2.0,,,1.0,1,True,False,38.0,1.14,297.0,261.0,247.0,291.0
British,2023,VER,Red Bull Racing,46.0,91.114,29.413,36.576,25.125,SOFT,16.0,2.0,,,1.0,1,True,False,36.4,1.092,298.0,262.0,248.0,293.0
British,2023,VER,Red Bull Racing,47.0,91.148,29.339,36.621,25.188,SOFT,17.0,2.0,,,1.0,1,True,False,34.8,1.044,297.0,263.0,249.0,292.0
British,2023,VER,Red Bull Racing,48.0,91.4,29.405,36.769,25.226,SOFT,18.0,2.0,,,1.0,1,True,False,33.2,0.996,297.0,260.0,249.0,289.0
British,2023,VER,Red Bull Racing,49.0,91.218,29.336,36.686,25.196,SOFT,19.0,2.0,,,1.0,1,True,False,31.6,0.948,299.0,261.0,249.0,290.0
British,2023,VER,Red Bull Racing,50.0,91.292,29.424,36.739,25.129,SOFT,20.0,2.0,,,1.0,1,True,False,30.0,0.9,299.0,262.0,249.0,291.0
British,2023,VER,Red Bull Racing,51.0,91.397,29.4,36.701,25.296,SOFT,21.0,2.0,,,1.0,1,True,False,28.4,0.852,299.0,262.0,250.0,290.0
British,2023,VER,Red Bull Racing,52.0,90.975,29.22,36.604,25.151,SOFT,22.0,2.0,,,1.0,1,True,False,26.8,0.804,299.0,262.0,249.0,291.0
British,2023,GAS,Alpine,1.0,101.014,,39.27,26.911,MEDIUM,1.0,1.0,,,9.0,1,False,True,108.4,3.252,299.0,249.0,244.0,295.0
British,2023,GAS,Alpine,2.0,94.706,29.954,38.367,26.385,MEDIUM,2.0,1.0,,,9.0,1,True,True,106.8,3.204,289.0,249.0,244.0,294.0
British,2023,GAS,Alpine,3.0,93.605,29.596,38.168,25.841,MEDIUM,3.0,1.0,,,9.0,1,True,True,105.2,3.156,306.0,253.0,244.0,317.0
British,2023,GAS,Alpine,4.0,93.349,29.492,38.086,25.771,MEDIUM,4.0,1.0,,,9.0,1,True,True,103.6,3.108,304.0,254.0,245.0,314.0
British,2023,GAS,Alpine,5.0,93.863,29.566,38.12,26.177,MEDIUM,5.0,1.0,,,9.0,1,True,True,102.0,3.06,302.0,251.0,244.0,293.0
British,2023,GAS,Alpine,6.0,94.143,29.697,38.381,26.065,MEDIUM,6.0,1.0,,,9.0,1,True,True,100.4,3.012,302.0,252.0,244.0,310.0
British,2023,GAS,Alpine,7.0,94.399,29.916,38.456,26.027,MEDIUM,7.0,1.0,,,9.0,1,True,True,98.8,2.964,302.0,253.0,243.0,313.0
British,2023,GAS,Alpine,8.0,93.905,29.751,38.006,26.148,MEDIUM,8.0,1.0,,,9.0,1,True,True,97.2,2.916,299.0,254.0,243.0,310.0
British,2023,GAS,Alpine,9.0,93.592,29.741,37.85,26.001,MEDIUM,9.0,1.0,,,9.0,1,True,True,95.6,2.868,300.0,253.0,244.0,311.0
British,2023,GAS,Alpine,10.0,93.855,29.747,37.908,26.2,MEDIUM,10.0,1.0,,,9.0,1,True,True,94.0,2.82,300.0,252.0,244.0,307.0
British,2023,GAS,Alpine,11.0,93.836,29.877,37.962,25.997,MEDIUM,11.0,1.0,,,9.0,1,True,True,92.4,2.772,298.0,252.0,242.0,305.0
British,2023,GAS,Alpine,12.0,93.705,29.806,37.902,25.997,MEDIUM,12.0,1.0,,,9.0,1,True,True,90.8,2.724,299.0,252.0,245.0,305.0
British,2023,GAS,Alpine,13.0,93.683,29.79,37.925,25.968,MEDIUM,13.0,1.0,,,9.0,1,True,True,89.2,2.676,299.0,253.0,245.0,304.0
British,2023,GAS,Alpine,14.0,93.843,29.922,38.058,25.863,MEDIUM,14.0,1.0,,,9.0,1,True,True,87.6,2.628,296.0,254.0,245.0,306.0
British,2023,GAS,Alpine,15.0,93.769,29.671,38.183,25.915,MEDIUM,15.0,1.0,,,9.0,1,True,True,86.0,2.58,313.0,255.0,245.0,307.0
British,2023,GAS,Alpine,16.0,93.535,29.712,37.938,25.885,MEDIUM,16.0,1.0,,,9.0,1,True,True,84.4,2.532,297.0,253.0,245.0,303.0
British,2023,GAS,Alpine,17.0,93.138,29.79,37.516,25.832,MEDIUM,17.0,1.0,,,9.0,1,True,True,82.8,2.484,298.0,254.0,244.0,306.0
British,2023,GAS,Alpine,18.0,93.291,29.817,37.714,25.76,MEDIUM,18.0,1.0,,,9.0,1,True,True,81.2,2.436,297.0,254.0,246.0,306.0
British,2023,GAS,Alpine,19.0,93.199,29.589,37.892,25.718,MEDIUM,19.0,1.0,,,8.0,1,True,True,79.6,2.388,316.0,255.0,246.0,307.0
British,2023,GAS,Alpine,20.0,93.248,29.99,37.599,25.659,MEDIUM,20.0,1.0,,,8.0,1,True,True,78.0,2.34,294.0,255.0,245.0,305.0
British,2023,GAS,Alpine,21.0,93.098,29.88,37.487,25.731,MEDIUM,21.0,1.0,,,8.0,1,True,True,76.4,2.292,294.0,254.0,245.0,306.0
British,2023,GAS,Alpine,22.0,93.168,29.877,37.485,25.806,MEDIUM,22.0,1.0,,,8.0,1,True,True,74.8,2.244,295.0,256.0,244.0,305.0
