Race,Season,Driver,Team,LapNumber,LapTime_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,FuelLoad_kg,FuelCorrection_s,IsAccurate,DegRate_s_lap,TotalLaps,LapsRemaining,SafetyCar,RedFlag,IsPitLap
Italian,2023,GAS,Alpine,12.0,87.431,HARD,5.0,2.0,,,19.0,1,90.8,2.724,True,-0.384,51.0,39.0,0,0,0
Italian,2023,GAS,Alpine,13.0,87.368,HARD,6.0,2.0,,,18.0,1,89.2,2.676,True,-0.384,51.0,38.0,0,0,0
Italian,2023,GAS,Alpine,14.0,87.348,HARD,7.0,2.0,,,18.0,1,87.6,2.628,True,-0.384,51.0,37.0,0,0,0
Italian,2023,GAS,Alpine,15.0,87.363,HARD,8.0,2.0,,,18.0,1,86.0,2.58,True,-0.384,51.0,36.0,0,0,0
Italian,2023,GAS,Alpine,16.0,87.088,HARD,9.0,2.0,,,18.0,1,84.4,2.532,True,-0.384,51.0,35.0,0,0,0
Italian,2023,GAS,Alpine,17.0,87.076,HARD,10.0,2.0,,,18.0,1,82.8,2.484,True,-0.384,51.0,34.0,0,0,0
Italian,2023,GAS,Alpine,18.0,87.053,HARD,11.0,2.0,,,18.0,1,81.2,2.436,True,-0.384,51.0,33.0,0,0,0
Italian,2023,GAS,Alpine,19.0,87.136,HARD,12.0,2.0,,,18.0,1,79.6,2.388,True,-0.384,51.0,32.0,0,0,0
Italian,2023,GAS,Alpine,20.0,87.035,HARD,13.0,2.0,,,18.0,1,78.0,2.34,True,-0.384,51.0,31.0,0,0,0
Italian,2023,GAS,Alpine,21.0,87.706,HARD,14.0,2.0,,,17.0,1,76.4,2.292,True,-0.384,51.0,30.0,0,0,0
Italian,2023,GAS,Alpine,22.0,87.219,HARD,15.0,2.0,,,17.0,1,74.8,2.244,True,-0.384,51.0,29.0,0,0,0
Italian,2023,GAS,Alpine,23.0,87.454,HARD,16.0,2.0,,,17.0,1,73.2,2.196,True,-0.384,51.0,28.0,0,0,0
Italian,2023,GAS,Alpine,24.0,87.06,HARD,17.0,2.0,,,17.0,1,71.6,2.148,True,-0.384,51.0,27.0,0,0,0
Italian,2023,GAS,Alpine,25.0,87.223,HARD,18.0,2.0,,,16.0,1,70.0,2.1,True,-0.384,51.0,26.0,0,0,0
Italian,2023,GAS,Alpine,26.0,87.59,HARD,19.0,2.0,,,15.0,1,68.4,2.052,True,-0.384,51.0,25.0,0,0,0
Italian,2023,GAS,Alpine,27.0,87.189,HARD,20.0,2.0,,,15.0,1,66.8,2.004,True,-0.384,51.0,24.0,0,0,0
Italian,2023,GAS,Alpine,28.0,87.521,HARD,21.0,2.0,,,15.0,1,65.2,1.956,True,-0.384,51.0,23.0,0,0,0
