Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Italian,2023,VER,Red Bull Racing,35.0,85.815,28.179,29.472,28.164,HARD,15.0,2.0,,,1.0,1,True,True,54.0,1.62,311.0,312.0,309.0,309.0
Italian,2023,VER,Red Bull Racing,36.0,85.598,28.04,29.439,28.119,HARD,16.0,2.0,,,1.0,1,True,True,52.4,1.572,311.0,312.0,308.0,311.0
Italian,2023,VER,Red Bull Racing,37.0,85.683,28.074,29.485,28.124,HARD,17.0,2.0,,,1.0,1,True,True,50.8,1.524,313.0,313.0,309.0,315.0
Italian,2023,VER,Red Bull Racing,38.0,85.585,28.067,29.469,28.049,HARD,18.0,2.0,,,1.0,1,True,True,49.2,1.476,314.0,315.0,310.0,312.0
Italian,2023,VER,Red Bull Racing,39.0,85.486,28.053,29.353,28.08,HARD,19.0,2.0,,,1.0,1,True,True,47.6,1.428,315.0,315.0,311.0,314.0
Italian,2023,VER,Red Bull Racing,40.0,85.901,28.185,29.481,28.235,HARD,20.0,2.0,,,1.0,1,True,True,46.0,1.38,315.0,315.0,310.0,309.0
Italian,2023,VER,Red Bull Racing,41.0,85.779,28.079,29.543,28.157,HARD,21.0,2.0,,,1.0,1,True,True,44.4,1.332,313.0,313.0,310.0,312.0
Italian,2023,VER,Red Bull Racing,42.0,85.912,28.057,29.562,28.293,HARD,22.0,2.0,,,1.0,1,True,True,42.8,1.284,314.0,316.0,309.0,313.0
Italian,2023,VER,Red Bull Racing,43.0,85.994,28.178,29.666,28.15,HARD,23.0,2.0,,,1.0,1,True,True,41.2,1.236,315.0,316.0,311.0,309.0
Italian,2023,VER,Red Bull Racing,44.0,85.751,28.03,29.503,28.218,HARD,24.0,2.0,,,1.0,1,True,True,39.6,1.188,316.0,318.0,310.0,311.0
Italian,2023,VER,Red Bull Racing,45.0,85.916,28.045,29.693,28.178,HARD,25.0,2.0,,,1.0,1,True,True,38.0,1.14,317.0,316.0,311.0,305.0
Italian,2023,VER,Red Bull Racing,46.0,86.185,28.067,29.921,28.197,HARD,26.0,2.0,,,1.0,1,True,True,36.4,1.092,316.0,317.0,312.0,308.0
Italian,2023,VER,Red Bull Racing,47.0,86.137,28.058,29.565,28.514,HARD,27.0,2.0,,,1.0,1,True,True,34.8,1.044,316.0,316.0,312.0,306.0
Italian,2023,VER,Red Bull Racing,48.0,87.235,28.459,30.06,28.716,HARD,28.0,2.0,,,1.0,1,True,True,33.2,0.996,305.0,312.0,310.0,294.0
Italian,2023,VER,Red Bull Racing,49.0,87.907,28.567,30.249,29.091,HARD,29.0,2.0,,,1.0,1,True,True,31.6,0.948,291.0,306.0,310.0,290.0
Italian,2023,VER,Red Bull Racing,50.0,88.393,28.738,30.474,29.181,HARD,30.0,2.0,,,1.0,1,True,True,30.0,0.9,300.0,304.0,310.0,283.0
Italian,2023,VER,Red Bull Racing,51.0,87.525,28.415,30.353,28.757,HARD,31.0,2.0,,,1.0,1,True,True,28.4,0.852,298.0,309.0,311.0,293.0
Italian,2023,GAS,Alpine,1.0,95.974,,32.313,29.984,MEDIUM,1.0,1.0,,,17.0,1,False,True,108.4,3.252,324.0,316.0,306.0,276.0
Italian,2023,GAS,Alpine,2.0,88.696,28.782,30.575,29.339,MEDIUM,2.0,1.0,,,17.0,1,True,True,106.8,3.204,310.0,309.0,306.0,320.0
Italian,2023,GAS,Alpine,3.0,87.916,28.714,30.06,29.142,MEDIUM,3.0,1.0,,,17.0,1,True,True,105.2,3.156,310.0,326.0,305.0,320.0
Italian,2023,GAS,Alpine,4.0,87.472,28.432,30.029,29.011,MEDIUM,4.0,1.0,,,17.0,1,True,True,103.6,3.108,310.0,326.0,308.0,325.0
Italian,2023,GAS,Alpine,5.0,87.694,28.291,30.155,29.248,MEDIUM,5.0,1.0,,,17.0,1,True,True,102.0,3.06,308.0,327.0,305.0,347.0
Italian,2023,GAS,Alpine,6.0,87.324,28.241,30.047,29.036,MEDIUM,6.0,1.0,,,17.0,1,True,True,100.4,3.012,308.0,324.0,305.0,331.0
Italian,2023,GAS,Alpine,7.0,87.21,28.18,29.932,29.098,MEDIUM,7.0,1.0,,,17.0,1,True,True,98.8,2.964,307.0,325.0,305.0,328.0
Italian,2023,GAS,Alpine,8.0,87.24,28.0,30.157,29.083,MEDIUM,8.0,1.0,,,17.0,1,True,True,97.2,2.916,310.0,322.0,305.0,334.0
Italian,2023,GAS,Alpine,9.0,87.366,28.124,29.976,29.266,MEDIUM,9.0,1.0,,,17.0,1,True,True,95.6,2.868,309.0,325.0,305.0,330.0
Italian,2023,GAS,Alpine,10.0,92.034,28.126,30.178,33.73,MEDIUM,10.0,1.0,5826.997,,18.0,1,False,True,94.0,2.82,312.0,325.0,,327.0
